Congruent,Incongruent,Mean of Congruent,Mean of Incongruent,,,STDDEV of Congruent,STD of Incongruent,,,Difference in Mean,Mean and Stddev of Diff
12.079,19.278,14.051125,22.01591667,3.889277016,7.496187674,3.559357958,4.797057122,,,-7.199,-7.964791667
16.791,18.741,,,7.506915016,10.72507917,Variance of Congruent,Variance of Congruent,,,-1.95,4.86482691
9.564,21.214,,,20.13429077,0.6430703403,12.66902907,23.01175704,,,-11.65,
8.63,15.687,,,29.38859627,40.05518617,,,,,-7.057,
14.669,22.803,,,0.3817695156,0.6195001736,,,,,-8.134,
12.238,20.878,,,3.287422266,1.29485434,,,,,-8.64,
14.692,24.572,,,0.4107207656,6.533562007,,,,,-9.88,
8.987,17.394,,,25.64536202,21.36211367,,,,,-8.407,
9.401,20.762,,,21.62366252,1.572307007,,,,,-11.361,
14.48,26.282,,,0.1839337656,18.19946701,,,,,-11.802,
22.328,24.524,,,68.50665977,6.290482007,,,,,-2.196,
15.298,18.644,,,1.554697266,11.36982201,,,,,-3.346,
15.073,17.51,,,1.044228516,20.30328501,,,,,-2.437,
16.929,20.33,,,8.282164516,2.842315007,,,,,-3.401,
18.2,35.255,,,17.21316377,175.2733275,,,,,-17.055,
12.13,22.158,,,3.690721266,0.02018767361,,,,,-10.028,
18.495,25.139,,,19.74802502,9.753649507,,,,,-6.644,
10.639,20.429,,,11.64259702,2.518304507,,,,,-9.79,
11.344,17.425,,,7.328525766,21.07651584,,,,,-6.081,
12.369,34.288,,,2.829544516,150.6040293,,,,,-21.919,
12.944,23.894,,,1.225725766,3.527197007,,,,,-10.95,
14.233,17.96,,,0.03307851562,16.45046001,,,,,-3.727,
19.71,22.058,,,32.02286627,0.001771006944,,,,,-2.348,
16.004,21.157,,,3.813720766,0.7377378403,,,,,-5.153,